ORIGIN_AIRPORT,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,CLUSTER,total_flights,avg_arrival_delay,avg_departure_delay,pct_delayed_15,cancellation_rate,avg_taxi_out,avg_distance,weather_delay_rate,airline_delay_rate,late_ac_delay_rate,system_delay_rate,PC1,PC2
SAF,Santa Fe Municipal Airport,Santa Fe,NM,35.61678,-106.08814,1,1435,8.303136,9.574913,20.069687,3.9893617021276597,14.011149,525.5547,4.2482557,39.10512,33.808033,22.785662,1.977888616399201,-0.10546127097914954
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966,1,69270,3.328988,8.314869,16.977047,1.1181221245744726,14.663751,979.6108,2.3773444,26.57845,49.5111,21.331306,0.03702158243344833,0.4988836165723894
SAT,San Antonio International Airport,San Antonio,TX,29.53369,-98.46978,2,29375,2.175217,7.543285,14.515744,1.1111857123673963,11.633872,716.8647,5.2414017,27.136045,48.099743,19.471663,-1.0100529912253267,0.2036152288998968
SAV,Savannah/Hilton Head International Airport,Savannah,GA,32.12758,-81.20214,1,7372,5.8061585,10.749865,18.516006,1.922566958366481,15.032148,543.0323,3.4774356,27.56249,34.35634,34.603737,1.6710172501715725,0.275664221763929
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,34.42621,-119.84037,1,5878,4.94607,6.4421573,17.301804,2.1106863885657305,14.625043,402.27698,1.73559,16.887825,46.89659,34.4369,0.15655665421143922,-0.8353579868043063
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,41.70895,-86.31847,1,4343,8.896846,11.111214,17.982962,2.2676246070947466,17.615013,310.5061,9.294166,46.47083,27.621246,16.401112,2.2023954776008994,1.2960508587184407
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,35.23706,-120.64239,0,3063,4.552073,6.801175,18.086843,2.0746887966804977,13.688214,248.6794,3.154401,13.7114,45.434345,37.46609,0.1711060825858165,-1.248271010360898
SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,70.19476,-148.46516,0,816,1.0992647,-0.9497549,12.5,2.1052631578947367,7.02451,297.30884,14.863661,8.002139,65.1399,11.138835,-4.263241617849863,-2.498679533432181
SCE,University Park Airport,State College,PA,40.85121,-77.8463,1,882,6.1031747,8.690476,17.006804,2.7442371020856204,12.399093,478.31406,11.438613,38.70117,24.866203,24.994009,1.1354009557635654,0.7501957424294108
SDF,Louisville International Airport (Standiford Field),Louisville,KY,38.17439,-85.736,1,9940,3.2481892,8.73833,16.448692,2.2638181105448845,14.27334,545.2497,3.906236,26.380816,41.81409,27.840366,0.29038422289723276,0.06311984965123375
SEA,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931,1,110178,2.9755669,6.7868266,15.995027,0.4057746237567516,16.757511,1266.9733,2.1713402,38.97899,32.65873,26.002907,0.7229255505725397,2.8330075696015475
SFO,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,1,145491,5.7502112,11.155364,19.59434,1.4512729041673424,17.75461,1201.148,1.5290458,32.15828,49.60618,16.603697,1.529226381304531,0.870317854551759
SGF,Springfield-Branson National Airport,Springfield,MO,37.24433,-93.38686,1,6035,9.515658,10.497266,20.14913,2.790250160359205,14.819552,461.68268,8.463024,26.24714,38.229023,26.929823,2.011973635959461,-0.7488102748405302
SGU,St. George Regional Airport,St George,UT,37.09058,-113.59306,2,1770,1.8734463,3.5237288,10.338983,0.3376477208778841,13.99209,352.4209,6.4271293,38.40129,41.138474,13.984659,-1.9872488495146674,1.6576754515684458
